"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C10,C11,C12,C13,C15,C20,C21,C22,C23,C24","14","0.1uF","","","","mr-stuff:RCE5C1H104J2A2H03B","~"
"C5,C8,C9","3","10uF","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"C6,C7","2","TDK FA28NP01H152JNU06","","","","FA28NP01H152JNU06:CAPRB500W50L400T250H550",""
"C14","1","4.7uF","","","","mr-stuff:RCER71E475K2A2H03B","~"
"C16,C17,C18","3","100uF","","","","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~"
"C19","1","1uF","","","","Capacitor_THT:C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"D1,D2,D3,D4,D5,D15,D16,D17,D18,D19,D20,D21,D22,D23,D33,D34,D35,D36,D37,D38,D39,D40,D41,D51,D52,D53,D54,D55,D56,D57,D58,D59,D69,D70,D71,D72,D73,D74,D75,D76,D77,D87,D88,D89,D90,D91,D92,D93,D94,D95,D105,D106,D107,D108,D109,D110,D111,D112,D113,D123,D124,D125,D126,D127,D128,D129,D130,D131,D141,D142,D143,D144","72","LED","","","","mr-stuff:WP383SURDTK","~"
"D6,D7,D8,D9,D10,D11,D12,D13,D14,D24,D25,D26,D27,D28,D29,D30,D31,D32,D42,D43,D44,D45,D46,D47,D48,D49,D50,D60,D61,D62,D63,D64,D65,D66,D67,D68,D78,D79,D80,D81,D82,D83,D84,D85,D86,D96,D97,D98,D99,D100,D101,D102,D103,D104,D114,D115,D116,D117,D118,D119,D120,D121,D122,D132,D133,D134,D135,D136,D137,D138,D139,D140","72","LED_45deg","","","","mr-stuff:WP383SURDTK","~"
"D145","1","1N5822","","","","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88526/1n5820.pdf"
"D146","1","SLD15-018","","","","DIOAD4425W136L885D885","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=fce36256-f340-4c99-9aec-ae774cb2d1d8&filename=littelfuse_tvs_diode_sld_datasheet.pdf"
"DE1","1","~","","","","mr-stuff:Amphenol_L77SDE09SA4CH4F","https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_d_sub_sd_stamped_formed_right_angle_board.pdf"
"DE2","1","~","","","","mr-stuff:Amphenol_L777SDE09PA4CH4F",""
"H1,H2,H3,H4","4","MountingHole_Pad","","Excluded from BOM","","MountingHole:MountingHole_4mm_Pad_Via","~"
"J1","1","Program Header","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","~"
"L2","1","7847111100","","","","mr-stuff:WE-RCIT_7847111100","https://www.we-online.com/components/products/datasheet/7847111100.pdf"
